psraid,sample,cnvtsmp,lang,form,usr,usr1,cregion,density3,qs1,rsex,DriverText,DriverDanger,TeenText,TeenTalked,RegretText,Monitored,Spam,SleptPhone,Harassed,SendSext,ReceiveSext
100008,1,1,1,1,S,2,2,4, ,2,N,N, , ,1,2,1,1,2,2,2
100014,1,1,1,1,S,2,3,3, ,2,N,N,Y,N,2,2,1,2,2,2,2
100017,1,1,1,2,U,1,1,3, ,2,Y,Y, , , , , , , , , 
100027,1,1,1,1,S,2,1,3, ,2,Y,Y, , ,2,2,2,1,2,2,2
100039,1,1,1,1,S,2,3,4, ,1,Y,Y, , , , , , , , , 
100060,1,1,1,1,U,1,3,2, ,2,Y,Y, , ,2,2,2,1,1,2,2
100074,1,1,1,1,S,2,2,3, ,1,N,Y, ,N, ,2, ,2,2,2,2
100111,1,1,1,2,U,1,3,3, ,1,Y,Y, , , , , , , , , 
100118,1,1,1,1,S,2,2,5, ,2,Y,Y, , , ,1, ,1,2,2,2
100125,1,1,1,1,U,1,1,5, ,2,Y,Y, , ,2,2,2,1,2,2,2
100134,1,1,1,2,U,1,3,3, ,2,Y,Y, , , , , , , , , 
100176,1,1,1,1,R,3,2,1, ,2,Y,N, , ,2,2,2,1,2,2,2
100213,1,1,1,2,S,2,3,3, ,1,N,Y,N,Y,2,1,1,1,2,2,2
100246,1,1,1,1,S,2,3,1, ,2,Y,Y, , ,2,2,1,1,2,2,2
100289,1,1,1,2,S,2,1,4, ,2,Y,Y, , ,2,1,1,1,2,2,2
100297,1,1,1,1,S,2,3,1, ,1,Y,Y, , ,2,2,2,1,2,2,2
100338,1,1,1,2,S,2,2,1, ,1,Y,Y, , , , , , , , , 
100375,1,1,1,2,U,1,4,1, ,2,Y,N, , , , , , , , , 
100382,1,1,1,1,U,1,4,1, ,1,Y,Y,Y,N,1,2,2,1,2,2,2
100411,1,1,1,2,R,3,3,1, ,2,Y,Y,Y,N,2,1,2,1,2,2,2
100416,1,1,1,1,R,3,3,1, ,2,N,Y, , ,1,1,1,1,2,2,2
100436,1,1,1,1,S,2,3,3, ,2,N,Y,N,N,1,2,1,1,2,2,2
100448,1,1,1,2,S,2,2,3, ,1,Y,Y, , , , , , , , , 
100454,1,1,1,1,R,3,3,1, ,1,N,Y, , ,2,2,2,1,2,2,2
100508,1,1,1,1,S,2,4,2, ,2,Y,Y, , , , , , , , , 
100553,1,1,1,2,S,2,1,3, ,2,Y,Y, , , , , , , , , 
100556,1,1,1,1,S,2,3,4, ,2,Y,N, , ,2,2,1,1,1,2,2
100559,1,1,1,1,S,2,1,2, ,1,Y,Y, , , ,1, ,2,2,2,2
100567,1,1,1,2,S,2,3,4, ,2,N,Y, , ,2,1,2,1,2,2,2
100615,1,1,1,1,U,1,2,3, ,2,N,Y,N,N,2,2,2,1,2,2,2
100649,1,1,1,1,S,2,3,2, ,2,Y,Y, , , , , , , , , 
100716,1,1,1,1,S,2,4,4, ,1,N,Y, , , , , , , , , 
100800,1,1,1,1,R,3,3,1, ,2,N,N,Y,N,2,2,1,1,2,2,2
100890,1,1,1,2,U,1,4,2, ,2,N,Y, , , , , , , , , 
100903,1,1,1,2,U,1,2,2, ,1,Y,N, , , , , , , , , 
100908,1,1,1,2,R,3,2,1, ,1,N,N, , ,2,2,2,1,2,2,2
100920,1,1,1,1,R,3,3,2, ,2,Y,Y, , ,2,2,2,2,2,2,2
100940,1,1,1,1,S,2,3,4, ,2,Y,Y, , ,2,2,1,1,1,2,2
100958,1,1,1,1,U,1,1,5, ,2,N,Y, , ,2,2,2,1,2,1,1
100977,1,1,1,1,S,2,2,4, ,2,N,N, , ,1,2,2,1,2,2,2
100990,1,1,1,1,S,2,2,2, ,2,Y,N, ,N, ,1, ,1,2,2,2
100995,1,1,1,2,S,2,2,2, ,2,Y,N, , , , , , , , , 
101002,1,1,1,2,R,3,4,1, ,2,N,Y, , ,2,2,2,1,2,2,2
101058,1,1,1,2,R,3,4,1, ,2,Y,Y, , , , , , , , , 
101103,1,1,1,1,S,2,2,2, ,2,N,Y, , ,1,2,2,1,1,2,2
101156,1,1,1,2,U,1,2,5, ,2,Y,Y, , ,2,1,1,1,2,2,2
101157,1,1,1,2,S,2,3,2, ,2,Y,N, , ,2,2,2,1,2,2,2
101165,1,1,1,2,U,1,1,5, ,2,Y,Y, , , , , , , , , 
101181,1,1,1,1,S,2,2,2, ,2,N,N, , ,1,2,2,1,2,2,2
101204,1,1,1,2,S,2,2,3, ,2,Y,Y, , ,2,2,1,2,2,2,2
101226,1,1,1,2,U,1,2,2, ,1,Y,Y,Y,Y,2,1,2,1,2,2,2
101274,1,1,1,1,U,1,3,2, ,2,N,N, , ,1,2,2,1,2,2,2
101341,1,1,1,1,R,3,2,1, ,2,N,N, , ,2,2,1,2,2,2,2
101346,1,1,1,2,R,3,3,1, ,2,Y,N, , ,2,2,2,1,2,2,2
101379,1,1,1,2,R,3,4,1, ,1,Y,Y, , ,2,2,1,1,2,2,2
101384,1,1,1,1,S,2,4,3, ,1,N,Y,Y,Y,2,2,2,1,2,2,2
101389,1,1,1,1,S,2,4,1, ,2,N,Y, ,Y, ,2, ,1,2,2,2
101406,1,1,1,2,U,1,3,4, ,1,N,N, , ,1,2,1,1,2,2,2
101426,1,1,1,1,R,3,2,1, ,2,Y,Y, , , , , , , , , 
101445,1,1,1,1,S,2,1,3, ,2,N,N,N,N,1,2,2,1,2,2,1
101447,1,1,1,1,R,3,1,1, ,2,Y,Y,Y,Y,2,2,2,1,2,2,2
101517,1,1,1,1,S,2,3,3, ,2,N,Y, , ,1,2,2,1,2,2,2
101539,1,1,1,2,S,2,3,3, ,1,N,Y,Y,Y,1,2,2,1,2,2,1
101551,1,1,1,1,R,3,2,1, ,2,N,N, ,N, ,2, ,1,1,2,2
101582,1,1,1,2,S,2,3,4, ,2,Y,Y, , ,2,1,2,1,2,2,2
101584,1,1,1,2,S,2,2,1, ,2,Y,Y, , , ,2, ,1,2,2,2
101605,1,1,1,2,S,2,2,4, ,2,N,N,N,N,1,2,1,1,2,2,2
101653,1,1,1,1,S,2,3,2, ,2,N,Y, , , , , , , , , 
101659,1,1,1,1,R,3,2,1, ,1,N,N,N,Y,1,2,1,1,2,1,1
101766,1,1,1,2,S,2,3,3, ,2,N,Y, , ,2,2,2,1,2,2,2
101775,1,1,1,1,R,3,3,1, ,2,Y,Y, , ,2,2,2,2,2,2,2
101786,1,1,1,1,U,1,1,5, ,2,Y,Y, , , , , , , , , 
101793,1,1,1,1,S,2,1,5, ,1,Y,Y, , ,1,2,1,1,2,2,2
101813,1,1,1,2,S,2,4,2, ,2,N,N,N,N,2,2,2,1,2,2,1
101831,1,1,1,1,S,2,2,3, ,2,Y,Y, , , , , , , , , 
101835,1,1,1,2,S,2,4,3, ,2,N,Y, , , , , , , , , 
101840,1,1,1,1,S,2,4,2, ,2,Y,N, , ,2,1,2,2,2,2,2
101849,1,1,1,1,U,1,1,2, ,2,Y,Y, , , ,8, ,2,2,2,2
101865,1,1,1,2,S,2,4,2, ,2,N,N, , ,1,2,1,2,2,2,2
101907,1,1,1,2,S,2,4,3, ,2,Y,Y, , , , , , , , , 
101917,1,1,1,2,U,1,4,5, ,1,Y,Y, , , , , , , , , 
101929,1,1,1,1,U,1,4,3, ,1,Y,Y,Y,Y,1,2,1,1,1,2,2
101939,1,1,1,1,S,2,4,3, ,1,Y,Y, , ,2,2,1,1,2,2,2
101942,1,1,1,2,U,1,4,5, ,2,Y,Y, , , , , , , , , 
101945,1,1,1,2,R,3,4,1, ,2,Y,N, , , , , , , , , 
101949,1,1,1,1,U,1,4,4, ,1,N,Y,N,N,2,2,2,2,2,2,1
101967,1,1,1,2,S,2,3,4, ,2,N,N, , ,2,2,2,1,2,1,1
101973,1,1,1,2,S,2,2,5, ,1,Y,Y,Y,Y,1,2,2,1,2,2,2
101988,1,1,1,2,S,2,2,3, ,1,N,N,N,N,1,2,1,1,1,2,2
101999,1,1,1,1,S,2,1,3, ,1,Y,N,Y,Y,1,1,2,1,2,2,1
102007,1,1,1,1,R,3,1,2, ,1,Y,N,Y,Y,1,1,1,1,1,2,2
102012,1,1,1,1,S,2,3,4, ,2,N,Y, , ,2,8,2,1,2,2,2
102035,1,1,1,1,S,2,3,3, ,2,N,N,N,N,1,2,1,1,2,2,2
102065,1,1,1,1,S,2,2,1, ,1,N,N, , ,1,2,1,1,1,2,1
102087,1,1,1,2,S,2,4,2, ,2,N,Y, , ,1,1,1,1,2,2,1
102111,1,1,1,1,U,1,2,3, ,2,N,N, , , , , , , , , 
102155,1,1,1,2,R,3,1,2, ,2,N,Y, , ,1,2,1,1,2,2,1
102179,1,1,1,1,R,3,2,1, ,2,N,N, , , , , , , , , 
102185,1,1,1,2,R,3,2,1, ,2,Y,Y, , , ,1, ,1,2,2,2
102206,1,1,1,1,S,2,3,2, ,1,N,N, , ,1,2,1,1,2,2,2
102210,1,1,1,2,S,2,3,4, ,2,N,N,Y,N,2,2,2,1,2,2,2
102220,1,1,1,1,S,2,1,4, ,2,Y,N, , , ,2, ,2,2,2,2
102233,1,1,1,2,U,1,1,4, ,1,Y,Y, , , , , , , , , 
102266,1,1,1,1,S,2,1,2, ,1,Y,N, ,Y, ,2, ,2,2,2,2
102273,1,1,1,2,R,3,2,2, ,1,N,N,Y,N,2,2,2,2,2,2,2
102283,1,1,1,2,R,3,3,1, ,2,Y,Y, , ,2,1,8,2,2,2,2
102317,1,1,1,2,S,2,2,5, ,2,Y,N, , ,2,2,2,1,2,2,2
102364,1,1,1,1,U,1,2,3, ,2,Y,Y, , , , , , , , , 
102365,1,1,1,1,R,3,3,1, ,2,N,N, , , , , , , , , 
102382,1,1,1,1,U,1,3,2, ,2,Y,Y, , , , , , , , , 
102393,1,1,1,1,S,2,3,2, ,2,N,Y,N,N,1,2,2,1,2,2,2
102398,1,1,1,1,S,2,2,5, ,2,N,N,Y,Y,1,2,1,1,1,2,2
102408,1,1,1,1,U,1,3,2, ,1,Y,N,Y,Y,1,2,2,1,2,2,2
102453,1,1,1,1,R,3,2,1, ,1,N,Y,Y,N,2,2,1,1,2,2,2
102469,1,1,1,2,R,3,3,2, ,2,Y,Y, , , , , , , , , 
102474,1,1,1,1,R,3,1,1, ,1,Y,Y, , , , , , , , , 
102475,1,1,1,1,U,1,3,3, ,2,Y,Y, , , , , , , , , 
102486,1,1,1,2,R,3,3,5, ,2,Y,N, , ,2,2,1,1,2,2,2
102510,1,1,1,1,S,2,2,1, ,1,N,N, , ,2,2,1,1,1,2,2
102512,1,1,1,1,R,3,2,1, ,1,Y,Y, , ,1,2,2,1,2,2,1
102521,1,1,1,1,R,3,4,1, ,2,Y,N, , ,1,8,1,1,1,2,2
102527,1,1,1,2,S,2,4,3, ,2,Y,Y, , , , , , , , , 
102532,1,1,1,1,S,2,2,5, ,1,N,Y, , ,2,2,2,1,2,2,2
102566,1,1,1,2,U,1,4,5, ,2,Y,Y, , , ,2, ,2,2,2,2
102578,1,1,1,1,U,1,4,4, ,2,Y,N, , , ,2, ,2,2,2,2
102606,1,1,1,2,U,1,4,5, ,2,N,Y, , , ,2, ,2,2,2,2
102615,1,1,1,2,U,1,4,3, ,1,Y,Y, , ,1,2,1,1,2,2,2
102627,1,1,1,1,R,3,4,1, ,2,Y,Y, , , , , , , , , 
102634,1,1,1,2,S,2,4,3, ,1,Y,Y, , , , , , , , , 
102658,1,1,1,2,S,2,2,1, ,2,Y,Y, , ,2,2,2,1,2,2,2
102665,1,1,1,2,S,2,1,3, ,1,N,N,N,N,2,2,1,1,2,2,2
102672,1,1,1,2,R,3,4,3, ,2,N,N, , ,2,2,2,2,2,2,2
102709,1,1,1,2,R,3,3,2, ,2,Y,N, , , ,1, ,1,2,2,2
102730,1,1,1,2,S,2,1,2, ,1,Y,N, ,Y, ,2, ,1,2,2,2
102749,1,1,1,1,S,2,3,2, ,1,N,Y,Y,N,2,2,1,2,1,2,2
102809,1,1,1,2,R,3,3,1, ,2,N,N,Y,Y,2,2,1,2,1,2,2
102860,1,1,1,1,S,2,2,5, ,2,N,Y, , ,1,2,1,1,2,2,2
102864,1,1,1,1,U,1,3,4, ,2,Y,Y, , , , , , , , , 
102894,1,1,1,2,S,2,3,3, ,2,Y,Y, , ,2,2,2,1,2,2,2
102936,1,1,1,2,S,2,4,5, ,2,N,Y, , , ,8, ,2,2,2,2
102948,1,1,1,2,U,1,4,2, ,2,Y,Y, ,Y, ,2, ,1,2,2,2
102987,1,1,1,1,U,1,2,2, ,2,N,Y,N,N,2,2,1,1,2,2,2
102993,1,1,1,1,S,2,2,1, ,2,Y,N, , ,2,2,2,1,2,2,2
102998,1,1,1,1,R,3,3,1, ,1,N,N,N,N,1,2,1,1,1,2,1
103011,1,1,1,1,U,1,4,4, ,2,Y,Y, , , ,2, ,1,2,2,2
103040,1,1,1,1,U,1,1,3, ,1,Y,Y, , , , , , , , , 
103072,1,1,1,1,R,3,2,1, ,1,N,N,N,Y,2,2,1,1,1,2,2
103074,1,1,1,1,S,2,1,2, ,2,N,Y,Y,N,1,1,1,1,2,2,2
103081,1,1,1,2,S,2,4,3, ,2,Y,Y, , ,2,2,2,1,2,2,2
103127,1,1,1,1,R,3,1,1, ,2,N,Y, , , , , , , , , 
103139,1,1,1,1,S,2,2,3, ,2,N,N, , , , , , , , , 
103145,1,1,1,2,S,2,1,5, ,2,N,Y,N,N,1,2,2,1,2,2,2
103228,1,1,1,1,S,2,3,4, ,2,N,N, , ,1,2,1,1,1,2,2
103243,1,1,1,1,R,3,4,1, ,2,Y,N,Y,N,1,2,1,1,2,2,2
103245,1,1,1,1,U,1,4,2, ,2,Y,Y,Y,Y,1,2,1,1,2,2,1
103246,1,1,1,1,U,1,2,4, ,2,N,Y,Y,Y,2,2,2,2,2,2,2
103251,1,1,1,2,U,1,4,3, ,1,N,Y, , ,2,2,1,1,2,2,2
103258,1,1,1,2,S,2,4,3, ,2,Y,Y, , ,1,2,2,2,2,2,2
103259,1,1,1,2,U,1,4,3, ,1,N,N, , , , , , , , , 
103263,1,1,1,2,U,1,4,5, ,2,Y,Y, , , , , , , , , 
103289,1,1,1,1,S,2,3,2, ,2,Y,N, , ,1,2,1,1,1,2,2
103325,1,1,1,1,S,2,2,5, ,2,Y,Y, , , , , , , , , 
103327,1,1,1,2,R,3,3,1, ,2,Y,Y, , ,1,1,1,1,2,2,2
103342,1,1,1,2,S,2,3,3, ,2,N,N, , ,1,2,1,1,1,2,2
103347,1,1,1,1,S,2,4,1, ,1,Y,Y, , ,2,2,1,1,2,2,2
103358,1,1,1,2,S,2,1,4, ,2,Y,Y, , ,2,2,1,2,2,2,2
103379,1,1,1,1,U,1,4,3, ,1,N,Y,Y,Y,2,2,1,1,1,2,2
103381,1,1,1,2,S,2,2,2, ,2,N,N,Y,N,1,2,1,1,2,2,2
103385,1,1,1,2,S,2,3,4, ,1,N,N,Y,Y,2,2,1,1,1,2,2
103401,1,1,1,1,U,1,4,1, ,2,N,N, , , ,2, ,1,2,2,2
103452,1,1,1,2,R,3,3,2, ,1,N,Y,Y,N,2,2,2,1,2,2,2
103457,1,1,1,1,R,3,3,2, ,2,Y,Y, , , , , , , , , 
103461,1,1,1,1,S,2,4,1, ,1,N,N, , ,2,2,2,1,2,2,2
103528,1,1,1,1,S,2,3,1, ,2,Y,Y, , ,2,2,1,1,2,2,2
103544,1,1,1,1,S,2,4,5, ,1,N,N, , ,1,2,2,1,2,2,2
103554,1,1,1,1,S,2,4,1, ,2,N,Y,Y,Y,1,2,1,1,2,2,2
103556,1,1,1,1,U,1,2,2, ,1,N,Y, , , , , , , , , 
103611,1,1,1,2,R,3,3,1, ,2,N,Y,Y,N,1,2,1,1,2,2,2
103620,1,1,1,2,S,2,3,4, ,2,Y,Y, , , ,1, ,1,1,2,2
103626,1,1,1,2,R,3,3,1, ,2,N,N,N,N,2,2,2,1,2,2,2
103627,1,1,1,2,U,1,2,2, ,1,Y,Y, , , ,2, ,1,2,2,2
103697,1,1,1,2,S,2,1,4, ,1,Y,Y, , ,2,2,2,1,2,2,2
103707,1,1,1,1,S,2,1,3, ,2,Y,Y, , ,2,2,2,2,2,2,2
103731,1,1,1,1,R,3,2,1, ,1,N,Y, , ,2,2,2,1,2,2,2
103737,1,1,1,1,S,2,4,3, ,2,Y,Y, , , , , , , , , 
103766,1,1,1,1,S,2,4,3, ,1,N,Y,Y,Y,1,2,1,1,1,2,2
103768,1,1,1,2,U,1,3,2, ,1,N,Y,Y,Y,2,2,2,1,2,2,2
103769,1,1,1,2,R,3,2,1, ,2,Y,Y, , , , , , , , , 
103801,1,1,1,2,S,2,2,3, ,2,Y,N, , ,1,2,1,1,1,2,1
103814,1,1,1,1,S,2,2,3, ,1,N,N,Y,N,2,2,2,1,2,2,2
103874,1,1,1,1,R,3,3,2, ,2,N,Y,N,Y,1,2,1,1,1,2,2
103886,1,1,1,1,S,2,1,3, ,2,Y,Y, , , , , , , , , 
103892,1,1,1,1,R,3,2,1, ,2,N,Y, , ,2,2,2,2,2,2,2
103903,1,1,1,1,R,3,2,1, ,1,N,N,Y,Y,1,2,1,1,1,2,1
103937,1,1,1,1,S,2,1,5, ,1,Y,N, , , ,1, ,2,2,2,2
103942,1,1,1,2,S,2,2,1, ,2,N,N, , ,2,2,1,1,1,1,2
103977,1,1,1,2,U,1,3,2, ,2,N,N,Y,N,1,2,1,1,1,1,1
103987,1,1,1,2,U,1,3,4, ,2,N,N,N,N,1,2,1,1,1,2,2
104018,1,1,1,2,U,1,3,4, ,2,N,Y, , , ,2, ,1,1,2,2
104079,1,1,1,2,S,2,1,3, ,2,Y,Y, , , , , , , , , 
104088,1,1,1,1,U,1,1,4, ,2,Y,Y, , , , , , , , , 
104134,1,1,1,2,U,1,2,5, ,1,N,N,Y,Y,2,2,1,1,1,2,2
104135,1,1,1,2,R,3,3,1, ,1,Y,Y, , , , , , , , , 
104159,1,1,1,1,R,3,3,1, ,2,8,N,Y,N,2,8,2,1,2,2,2
104175,1,1,1,2,U,1,1,5, ,2,N,Y,Y,N,1,2,1,1,2,2,2
104176,1,1,1,1,S,2,4,3, ,1,Y,Y, , ,2,2,1,1,1,2,2
104177,1,1,1,1,S,2,4,3, ,2,Y,Y, , , ,2, ,2,2,2,2
104180,1,1,1,2,S,2,1,3, ,2,Y,Y, , ,2,2,1,1,2,2,2
104185,1,1,1,1,R,3,2,1, ,2,Y,N,Y,N,1,2,1,1,2,2,2
104203,1,1,1,1,S,2,4,4, ,2,N,Y, , , , , , , , , 
104244,1,1,1,2,S,2,2,3, ,2,N,N,Y,N,2,2,1,1,1,2,1
104252,1,1,1,2,R,3,3,1, ,2,N,Y, , , , , , , , , 
104262,1,1,1,2,U,1,4,1, ,1,Y,Y, , , , , , , , , 
104324,1,1,1,2,U,1,4,5, ,2,N,N,N,N,2,2,1,1,2,2,2
104326,1,1,1,1,U,1,4,5, ,2,N,Y, , ,1,2,2,1,2,2,2
104335,1,1,1,1,U,1,3,3, ,1,N,Y,Y,Y,2,2,1,2,1,2,1
104382,1,1,1,1,S,2,3,2, ,2,N,Y,N,N,2,2,2,2,1,2,2
104396,1,1,1,2,S,2,1,4, ,2,N,Y, ,Y, ,2, ,1,2,2,2
104429,1,1,1,2,S,2,1,2, ,2,N,N,N,N,1,1,1,1,2,2,2
104466,1,1,1,2,S,2,1,2, ,2,Y,Y, , , ,2, ,1,2,2,2
104503,1,1,1,1,S,2,2,3, ,1,Y,Y, , , , , , , , , 
104521,1,1,1,2,R,3,3,1, ,1,N,Y,Y,Y,1,2,1,1,2,2,2
104522,1,1,1,1,U,1,3,4, ,2,Y,Y, , , ,2, ,2,2,2,2
104530,1,1,1,1,S,2,2,3, ,2,N,Y, , ,1,2,2,1,2,2,2
104543,1,1,1,1,R,3,3,1, ,2,N,Y, , , , , , , , , 
104571,1,1,1,2,S,2,1,4, ,2,Y,Y, , , , , , , , , 
104606,1,1,1,2,S,2,1,3, ,2,N,N, , , , , , , , , 
104611,1,1,1,2,S,2,3,5, ,2,Y,Y, , , , , , , , , 
104635,1,1,1,2,S,2,1,2, ,2,N,Y, , ,1,2,2,1,2,2,2
104736,1,1,1,1,S,2,2,1, ,1,Y,Y, , , , , , , , , 
104749,1,1,1,1,S,2,2,4, ,1,Y,Y,Y,Y,1,1,2,1,2,2,2
104754,1,1,1,1,R,3,2,1, ,1,N,N, , ,1,2,1,1,1,2,2
104757,1,1,1,2,S,2,3,2, ,1,Y,Y, , , , , , , , , 
104784,1,1,1,2,R,3,3,2, ,2,Y,Y, , , ,8, ,1,1,2,2
104802,1,1,1,2,U,1,4,2, ,2,N,Y,Y,Y,2,2,2,1,2,2,2
104810,1,1,1,2,U,1,4,1, ,2,N,N,N,N,1,2,1,1,1,2,1
104823,1,1,1,1,R,3,4,1, ,2,Y,Y,Y,Y,1,2,2,1,1,2,2
104839,1,1,1,1,U,1,4,1, ,2,N,Y, , ,2,2,1,1,2,2,2
104843,1,1,1,1,U,1,4,4, ,1,N,N, , ,2,2,1,2,2,2,2
104853,1,1,1,1,U,1,4,2, ,1,N,N, , ,1,2,2,1,2,2,2
104868,1,1,1,1,R,3,2,1, ,2,N,N,N,N,1,2,1,1,2,2,2
104879,1,1,1,2,S,2,4,3, ,1,Y,Y, , ,2,2,2,1,2,2,2
104893,1,1,1,1,S,2,4,1, ,1,N,N, , ,2,2,2,1,2,2,2
104895,1,1,1,2,U,1,4,2, ,2,N,N,N,N,1,2,1,1,1,1,1
104897,1,1,1,2,U,1,4,3, ,2,N,N,Y,Y,2,2,1,1,2,2,1
104900,1,1,1,1,S,2,3,4, ,2,Y,Y, , , ,2, ,2,2,2,2
104933,1,1,1,1,U,1,1,5, ,2,N,Y,Y,Y,2,2,2,2,2,2,2
104964,1,1,1,2,U,1,3,2, ,2,N,Y,N,N,1,2,1,1,2,2,2
104986,1,1,1,1,R,3,3,2, ,2,Y,Y, , ,2,2,2,1,2,2,2
105037,1,1,1,1,S,2,2,4, ,1,Y,Y,Y,Y,2,2,2,1,2,2,2
105064,1,1,1,1,S,2,3,2, ,2,N,N, , , , , , , , , 
105070,1,1,1,2,U,1,3,5, ,2,Y,N, , ,1,2,2,1,2,1,2
105090,1,1,1,2,U,1,1,2, ,2,Y,Y, , , , , , , , , 
105098,1,1,1,2,U,1,3,3, ,2,Y,Y, , ,1,2,1,1,2,2,2
105113,1,1,1,2,R,3,2,1, ,2,N,N,Y,Y,2,2,2,2,2,2,2
105128,1,1,1,1,S,2,2,3, ,2,N,N, , , , , , , , , 
105138,1,1,1,1,U,1,4,2, ,1,N,Y, , , ,2, ,1,2,2,2
105154,1,1,1,1,R,3,3,1, ,2,N,N,N,N,1,2,2,1,1,1,1
105168,1,1,1,1,U,1,2,5, ,2,N,N,Y,Y,1,2,1,1,1,2,2
105238,1,1,1,1,S,2,1,5, ,2,N,Y,Y,Y,1,2,1,1,1,2,1
105241,1,1,1,1,S,2,2,2, ,2,Y,Y, , ,2,1,1,1,2,2,2
105264,1,1,1,1,S,2,3,3, ,2,Y,Y, , ,2,2,2,1,2,2,2
105283,1,1,1,2,S,2,2,1, ,2,N,N,N,N,1,2,1,1,1,2,2
105295,1,1,1,2,R,3,4,1, ,1,N,N, , , , , , , , , 
